"indicator","year","value","population_group","unit","disease","sex"
"crude_mortality",2020,23.19,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2019,21.82,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2018,21.85,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2017,21.46,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2016,21.47,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2021,159.4,"urban","per 100,000 population","heart_disease","female"
"crude_mortality",2020,152.52,"urban","per 100,000 population","heart_disease","female"
"crude_mortality",2019,143.42,"urban","per 100,000 population","heart_disease","female"
"crude_mortality",2018,142.42,"urban","per 100,000 population","heart_disease","female"
"crude_mortality",2017,138.32,"urban","per 100,000 population","heart_disease","female"
"crude_mortality",2016,135,"urban","per 100,000 population","heart_disease","female"
"crude_mortality",2021,124.52,"urban","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2020,120.02,"urban","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2019,115.6,"urban","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2018,115.72,"urban","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2017,113.68,"urban","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2016,112.95,"urban","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2021,41.51,"urban","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2020,43.2,"urban","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2019,52,"urban","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2018,55.39,"urban","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2017,55.3,"urban","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2016,58.12,"urban","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2021,167.06,"rural","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2020,161.85,"rural","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2019,160.96,"rural","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2018,158.61,"rural","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2017,156.7,"rural","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2016,155.83,"rural","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2021,21.09,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2020,19.01,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2019,17.8,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2018,17.01,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2017,16.34,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2016,15.72,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2021,188.58,"rural","per 100,000 population","heart_disease","all"
"crude_mortality",2020,171.36,"rural","per 100,000 population","heart_disease","all"
"crude_mortality",2019,164.66,"rural","per 100,000 population","heart_disease","all"
"crude_mortality",2018,162.12,"rural","per 100,000 population","heart_disease","all"
"crude_mortality",2017,154.4,"rural","per 100,000 population","heart_disease","all"
"crude_mortality",2016,151.18,"rural","per 100,000 population","heart_disease","all"
"crude_mortality",2021,175.58,"rural","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2020,164.77,"rural","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2019,158.63,"rural","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2018,160.19,"rural","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2017,157.48,"rural","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2016,158.15,"rural","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2021,65.23,"rural","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2020,63.64,"rural","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2019,74.61,"rural","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2018,77.67,"rural","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2017,78.57,"rural","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2016,81.72,"rural","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2021,213.11,"rural","per 100,000 population","malignant_neoplasms","male"
"crude_mortality",2020,206.72,"rural","per 100,000 population","malignant_neoplasms","male"
"crude_mortality",2019,206.64,"rural","per 100,000 population","malignant_neoplasms","male"
"crude_mortality",2018,202.86,"rural","per 100,000 population","malignant_neoplasms","male"
"crude_mortality",2017,200.8,"rural","per 100,000 population","malignant_neoplasms","male"
"crude_mortality",2016,199.41,"rural","per 100,000 population","malignant_neoplasms","male"
"crude_mortality",2021,19.42,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","male"
"crude_mortality",2020,17.54,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","male"
"crude_mortality",2019,16.12,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","male"
"crude_mortality",2018,15.36,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","male"
"crude_mortality",2017,14.5,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","male"
"crude_mortality",2016,13.9,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","male"
"crude_mortality",2021,192.09,"rural","per 100,000 population","heart_disease","male"
"crude_mortality",2020,174.87,"rural","per 100,000 population","heart_disease","male"
"crude_mortality",2019,167.63,"rural","per 100,000 population","heart_disease","male"
"crude_mortality",2018,166,"rural","per 100,000 population","heart_disease","male"
"crude_mortality",2017,157.86,"rural","per 100,000 population","heart_disease","male"
"crude_mortality",2016,154.07,"rural","per 100,000 population","heart_disease","male"
"crude_mortality",2021,192.41,"rural","per 100,000 population","cerebrovascular_disease","male"
"crude_mortality",2020,181.64,"rural","per 100,000 population","cerebrovascular_disease","male"
"crude_mortality",2019,175.18,"rural","per 100,000 population","cerebrovascular_disease","male"
"crude_mortality",2018,176.06,"rural","per 100,000 population","cerebrovascular_disease","male"
"crude_mortality",2017,173.97,"rural","per 100,000 population","cerebrovascular_disease","male"
"crude_mortality",2016,173.81,"rural","per 100,000 population","cerebrovascular_disease","male"
"crude_mortality",2021,77.67,"rural","per 100,000 population","respiratory_diseases","male"
"crude_mortality",2020,74.55,"rural","per 100,000 population","respiratory_diseases","male"
"crude_mortality",2019,85.39,"rural","per 100,000 population","respiratory_diseases","male"
"crude_mortality",2018,87.83,"rural","per 100,000 population","respiratory_diseases","male"
"crude_mortality",2017,88.18,"rural","per 100,000 population","respiratory_diseases","male"
